	Completeness	Name	Class	Definition
M00001	1.0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)
M00005	1.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948
M00156	1.0	Cytochrome c oxidase, cbb3-type	Pathway modules; Energy metabolism; ATP synthesis	((K00404+K00405,K15862)+K00407+K00406)
M00052	1.0	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K13800,K13809,K09903) (K00940,K18533) K01937
M00049	1.0	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01939 K01756 (K00939,K18532,K18533,K00944) K00940
M00133	1.0	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	(K01584,K01585,K02626) K01480 K01611 K00797
M00916	1.0	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K06215+K08681
M01000	1.0	GDP-Man biosynthesis, Fru-6P => GDP-Man	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	(K01809,K15916,K16011) (K17497,K01840,K15778,K16881) (K00966,K00971,K16011,K16881)
M00554	1.0	UDP-Gal biosynthesis, Gal => UDP-Gal	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00849 K00965 K00965 UDPglucose--hexose-1-phosphate uridylyltransferase
M00896	1.0	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K22699 K03147 (K00941 (K00788,K21220),K21219) K00946
M00003	0.875	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622) K01689,
M00914	0.875	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00606 K00077 K06982 K09722 K13038 K02201 K09735 K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] [RN:R02472]
M00002	0.8333333333333334	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406) K00134,
M00050	0.8	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00088 K01951 K00942 (K00940,K18533) K01951 GMP synthase [EC:6.3.5.2] [RN:R01230 R01231]
M00018	0.8	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733
M00632	0.75	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01785 K00849 K00965 K01784
M00909	0.75	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 (K03431,K28126) (K04042,K23144,(K28192 (K11528,K00972))) K03431,
M00968	0.75	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(((K00757,K26211,K26212) (K21056,K26208)),K18931) K18237 (K01601,(K26210 K01636)) K26211,
M00020	0.6666666666666666	Serine biosynthesis, glycerate-3P => serine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00058 K00831 (K01079,K02203,K22305,K25528)
M00741	0.6666666666666666	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K01965+K01966,K11263+(K18472,K27094+K27095,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)
M00763	0.6666666666666666	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K05826 K19412 K05828 K05829 K05830 K05831
M00365	0.6666666666666666	C10-C20 isoprenoid biosynthesis, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01823 K13787 K13787 DMPP -> GPP -> FPP -> GGPP
M00580	0.6666666666666666	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K08094 (K08093,K13812),K13831) K01807 K08093,K13812,K13831 3-hexulose-6-phosphate synthase [EC:4.1.2.43] [RN:R05338]
M00855	0.6666666666666666	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)
M00988	0.6666666666666666	PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K01495,K09007,K22391) K01737 K10026 K06920 (K06879,K09457) K01737 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase
M00034	0.6666666666666666	Methionine salvage pathway	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789 K01611 K00797 ((K01243,K01244) K00899,(K00772,K05810)) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838) K01611 S-adenosylmethionine decarboxylase [EC:4.1.1.50] [RN:R00178]
M00048	0.6666666666666666	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176)) K01945,K11787,
M00125	0.625	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K01497,K14652) (K01498 K00082,K11752) (K22912,K20860,K20861,K20862,K21063,K21064) (K02858,K14652) K00794 K00793 (K20884 K22949,K11753) K01498,
M00115	0.6	NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K00278,K06989) K03517 K00767 (K00969,K06210) (K01916,K01950)
M00122	0.5714285714285714	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K00798,K19221) K02232 (K02225,K02227) K02231 K00768 (K02226,K22316) K02233
M00127	0.5714285714285714	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03148+K03154 K03151 K03150 K03149 K03147 ((K00941 K00788),K14153,K21219) K00946
M00119	0.5714285714285714	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00826 K00606 K00077 K01579 (K01918,K13799) K00606 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] [RN:R01226] K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] [RN:R02472]
M00031	0.5714285714285714	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K05826 K05827 K05828 K05829 K05830 K05831 K05827 [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase
M00159	0.5294117647058824	V/A-type ATPase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02117+K02118+K02119+K02120+K02121+K02122+K02107+K02123+K02124 K02118 ATPVB; V/A-type H+-transporting ATPase subunit B K02119 ATPVC; V/A-type H+-transporting ATPase subunit C K02120 ATPVD; V/A-type H+-transporting ATPase subunit D K02121 ATPVE; V/A-type H+-transporting ATPase subunit E K02122 ATPVF; V/A-type H+-transporting ATPase subunit F K02107 ATPVG; V/A-type H+-transporting ATPase subunit G/H K02123 ATPVI; V/A-type H+-transporting ATPase subunit I K02124 ATPVK; V/A-type H+-transporting ATPase subunit K
M00843	0.5	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495 K01737 K17745 K01737 6-pyruvoyltetrahydropterin [EC:4.2.3.12] [RN:R04286]
M00842	0.5	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495 K01737 K00072 K01737 6-pyruvoyltetrahydropterin synthase [EC:4.2.3.12] [RN:R04286]
M00011	0.5	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116) K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197] K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197] K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197] K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197] K01902,
M00307	0.5	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737 K00169,K00170,K00171,K00172,K00189,
M00141	0.5	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600 (K00288,(K13403 K13402))
M00035	0.5	Methionine degradation	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789 (K00552,K00558,K17398,K17399) K01251 (K01697,K10150)
M00098	0.5	Acylglycerol degradation	Pathway modules; Lipid metabolism; Lipid metabolism	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) (K01054,K25824)
M00015	0.5	Proline biosynthesis, glutamate => proline	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	((K00931 K00147),K12657) K00286
M00938	0.5	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K00525+K00526,K10807+K10808) (K00940,K18533) K01520 (K00560,K13998,K03465) K00943 K00940,
M00913	0.5	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00606 K00077 K13367 K00128 K01918 K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] [RN:R02472]
M00899	0.5	Thiamine salvage pathway, HMP/HET => TMP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00878 ((K00941 K00788),K14153,K21219)
M00017	0.42857142857142855	Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)
M01002	0.4	UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 K28125 K28126 K23144 K28125 D-glucosamine-6-phosphate 4-epimerase [EC:5.1.3.42] [RN:R12220]
M00995	0.4	UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 K03431 K04042 K00790 K00075
M00912	0.375	NAD biosynthesis, tryptophan => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K00767 (K00969,K06210) (K01916,K01950)
M01004	0.3333333333333333	UDP-Galf biosynthesis, UDP-Glc => UDP-Galf	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K01784 (K01854,K28214) K01854,K28214 UDP-galactopyranose mutase
M00897	0.3333333333333333	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03146 K03147 K14153 K22911 K00949 K03147 THIC; phosphomethylpyrimidine synthase
M00972	0.3333333333333333	Proline metabolism	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00819 K00286 K00318
M00165	0.3333333333333333	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) K01803 (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01100,K11532,K01086) (K01807,K01808) K01783 K01601,
M00140	0.3333333333333333	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600 (K01491,(K00300 K01500)) K01938
M00120	0.3333333333333333	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K00867,K03525,K01947,K09680) ((K01922,K21977) K01598,K13038) (K02318,(K00954,K02201) K00859)
M00880	0.3333333333333333	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	((K03639 K03637),K20967) (K03635,K21142) (((K03831,K03638) K03750),K15376)
M00849	0.3333333333333333	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00626 K01641 (K00021,K00054) ((K00869 (K17942,(K25517+K09128 K25518+K03186))),(K18689 K18690 K22813)) K06981 K01823
