	Completeness	Name	Class	Definition
M00001	1.0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)
M00003	1.0	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622) K01689,
M00005	1.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948
M00071	1.0	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	Pathway modules; Glycan metabolism; Glycan biosynthesis	K03766 (K07966,K07967,K07968,K07969) K07966,K07967,K07968,K07969 B4GALT1,B4GALT2,B4GALT3,B4GALT4
M00052	1.0	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K13800,K13809,K09903) (K00940,K18533) K01937
M00056	1.0	O-glycan biosynthesis, mucin type core	Pathway modules; Glycan metabolism; Glycan biosynthesis	K00710 (K00731,K09653) (K00727,K09662,K09663) K00739 K00731,K09653 C1GALT1,C1GALT2
M00049	1.0	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01939 K01756 (K00939,K18532,K18533,K00944) K00940
M00070	1.0	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	Pathway modules; Glycan metabolism; Glycan biosynthesis	K03766 (K07819,K07820,K03877) K07819,K07820,K03877 B3GALT1,B3GALT2,B3GALT5
M00051	1.0	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591) K11540,K11541,K00609+K00610,
M00133	1.0	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	(K01584,K01585,K02626) K01480 K01611 K00797
M00307	1.0	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737 K00169,K00170,K00171,K00172,K00189,
