Module_ID,Name,Definition,Class,Pathway
md:M00005,"PRPP biosynthesis, ribose 5P => PRPP",K00948,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00030  Pentose phosphate pathway
md:M00159,"V/A-type ATPase, prokaryotes",K02117+K02118+K02119+K02120+K02121+K02122+K02107+K02123+K02124,Pathway modules; Energy metabolism; ATP synthesis,map00190  Oxidative phosphorylation
md:M00916,"Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P",K06215+K08681,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00750  Vitamin B6 metabolism
md:M00914,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K00606 K00077 K06982 K09722 K13038 K02201 K09735,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00770  Pantothenate and CoA biosynthesis
md:M00580,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P","(K08094 (K08093,K13812),K13831) K01807",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00030  Pentose phosphate pathway
md:M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP","K01939 K01756 (K00939,K18532,K18533,K00944) K00940",Pathway modules; Nucleotide metabolism; Purine metabolism,map00230  Purine metabolism
md:M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine","(K01584,K01585,K02626) K01480",Pathway modules; Amino acid metabolism; Polyamine biosynthesis,map00330  Arginine and proline metabolism
md:M00621,Glycine cleavage system,"(K00281,K00282+K00283) K00605 K00382",Pathway modules; Amino acid metabolism; Serine and threonine metabolism,"map00260  Glycine, serine and threonine metabolism"
md:M00968,"Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate","(((K00757,K26211,K26212) (K21056,K26208)),K18931) K18237 (K01601,(K26210 K01636))",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,map00030  Pentose phosphate pathway
md:M00880,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor","((K03639 K03637),K20967) (K03635,K21142) (((K03831,K03638) K03750),K15376)",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00790  Folate biosynthesis
md:M00002,"Glycolysis, core module involving three-carbon compounds","K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00010  Glycolysis / Gluconeogenesis
md:M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177),Pathway modules; Energy metabolism; Carbon fixation,map00720  Other carbon fixation pathways
md:M01002,"UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc",K00820 K28125 K28126 K23144,Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis,map00520  Amino sugar and nucleotide sugar metabolism
md:M00365,"C10-C20 isoprenoid biosynthesis, archaea",K01823 K13787,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis,map00900  Terpenoid backbone biosynthesis
md:M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","(K13800,K13809,K09903) (K00940,K18533) K01937",Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,map00240  Pyrimidine metabolism
md:M00122,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin","(K00798,K19221) K02232 (K02225,K02227) K02231",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00860  Porphyrin metabolism
md:M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea","K00626 K01641 (K00021,K00054) ((K00869 (K17942,(K25517+K09128 K25518+K03186))),(K18689 K18690 K22813)) K06981 K01823",Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis,map00900  Terpenoid backbone biosynthesis
md:M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP","K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))",Pathway modules; Nucleotide metabolism; Purine metabolism,map00230  Purine metabolism
md:M00896,"Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP",K22699,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00730  Thiamine metabolism
md:M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA","((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00010  Glycolysis / Gluconeogenesis
md:M00913,"Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate",K00606 K00077,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00770  Pantothenate and CoA biosynthesis
md:M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP","K00088 K01951 K00942 (K00940,K18533)",Pathway modules; Nucleotide metabolism; Purine metabolism,map00230  Purine metabolism
md:M00895,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP",K03148+K03154 K03151,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00730  Thiamine metabolism
md:M00995,"UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc",K00820 K03431 K04042 K00790 K00075,Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis,map00520  Amino sugar and nucleotide sugar metabolism
md:M00115,"NAD biosynthesis, aspartate => quinolinate => NAD","(K00278,K06989) K03517 K00767 (K00969,K06210) (K01916,K01950)",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00760  Nicotinate and nicotinamide metabolism
md:M00003,"Gluconeogenesis, oxaloacetate => fructose-6P","(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00010  Glycolysis / Gluconeogenesis
md:M00988,"PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine","(K01495,K09007,K22391) K01737 K10026 K06920 (K06879,K09457)",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00790  Folate biosynthesis
